Age,Male,Female
0,0.0059,0.0056
1,0.006,0.0057
2,0.0061,0.0058
3,0.0062,0.006
4,0.0063,0.006
5,0.0063,0.006
6,0.0063,0.006
7,0.0063,0.006
8,0.0063,0.0061
9,0.0063,0.0061
10,0.0063,0.0061
11,0.0065,0.0062
12,0.0065,0.0063
13,0.0065,0.0062
14,0.0065,0.0062
15,0.0065,0.0062
16,0.0064,0.0062
17,0.0064,0.0062
18,0.0066,0.0063
19,0.0067,0.0064
20,0.0067,0.0064
21,0.0067,0.0064
22,0.0067,0.0064
23,0.0068,0.0065
24,0.0069,0.0066
25,0.0071,0.0067
26,0.0072,0.0068
27,0.0074,0.007
28,0.0075,0.0072
29,0.0074,0.0072
30,0.0071,0.0069
31,0.007,0.0068
32,0.0068,0.0066
33,0.0068,0.0067
34,0.0069,0.0067
35,0.0066,0.0065
36,0.0067,0.0066
37,0.0066,0.0066
38,0.0065,0.0066
39,0.0067,0.0067
40,0.0062,0.0063
41,0.0061,0.0062
42,0.006,0.0061
43,0.0058,0.0059
44,0.006,0.0061
45,0.0058,0.0059
46,0.0058,0.006
47,0.0061,0.0063
48,0.0064,0.0066
49,0.0065,0.0067
50,0.0062,0.0063
51,0.006,0.0062
52,0.006,0.0062
53,0.0061,0.0063
54,0.0064,0.0067
55,0.0065,0.0068
56,0.0065,0.0068
57,0.0064,0.0068
58,0.0065,0.0069
59,0.0065,0.0069
60,0.0063,0.0067
61,0.0062,0.0067
62,0.0061,0.0066
63,0.0058,0.0064
64,0.0057,0.0063
65,0.0054,0.0061
66,0.0052,0.0058
67,0.005,0.0056
68,0.0048,0.0054
69,0.0046,0.0053
70,0.0045,0.0051
71,0.0044,0.005
72,0.0045,0.0052
73,0.0033,0.0038
74,0.0032,0.0038
75,0.003,0.0037
76,0.0031,0.0037
77,0.0026,0.0032
78,0.0023,0.0029
79,0.0021,0.0027
80,0.002,0.0025
81,0.0018,0.0024
82,0.0016,0.0022
83,0.0015,0.002
84,0.0013,0.0019
85,0.0011,0.0017
86,0.001,0.0016
87,0.0009,0.0015
88,0.0008,0.0013
89,0.0007,0.0012
90,0.0006,0.0011
91,0.0005,0.0009
92,0.0004,0.0008
93,0.0003,0.0007
94,0.0002,0.0006
95,0.0002,0.0004
96,0.0001,0.0003
97,0.0001,0.0003
98,0.0001,0.0002
99,0,0.0001
100,0.0001,0.0002
