Month,Ages,Cases,Deaths,,,
Jan-20, 0 - 9,98,0,,,
Jan-20, 10 - 19,260,0,,,
Jan-20,20 - 29,444,0,,,
Jan-20,30 - 39,411,3,,,
Jan-20,40 - 49,376,4,,,
Jan-20,50-59,387,7,,,
Jan-20,60-69,294,11,,,
Jan-20,70-79,180,25,,,
Jan-20,80+,134,24,,,
Feb-20, 0 - 9,48,0,,,
Feb-20, 10 - 19,138,1,,,
Feb-20,20 - 29,380,2,,,
Feb-20,30 - 39,475,11,,,
Feb-20,40 - 49,561,10,,,
Feb-20,50-59,725,38,,,
Feb-20,60-69,790,83,,,
Feb-20,70-79,479,94,,,
Feb-20,80+,316,114,,,
Mar-20, 0 - 9,2422,8,,,
Mar-20, 10 - 19,7056,13,,,
Mar-20,20 - 29,45288,131,,,
Mar-20,30 - 39,59916,445,,,
Mar-20,40 - 49,63329,1097,,,
Mar-20,50-59,71415,2789,,,
Mar-20,60-69,55773,5159,,,
Mar-20,70-79,30630,6510,,,
Mar-20,80+,20882,8708,,,
Apr-20, 0 - 9,9123,7,,,
Apr-20, 10 - 19,24307,19,,,
Apr-20,20 - 29,98003,168,,,
Apr-20,30 - 39,117086,523,,,
Apr-20,40 - 49,122138,1334,,,
Apr-20,50-59,133475,3758,,,
Apr-20,60-69,101363,8813,,,
Apr-20,70-79,62250,13817,,,
Apr-20,80+,76595,28947,,,
May-20, 0 - 9,17344,7,,,
May-20, 10 - 19,37986,14,,,
May-20,20 - 29,101773,105,,,
May-20,30 - 39,103874,255,,,
May-20,40 - 49,95851,563,,,
May-20,50-59,91385,1481,,,
May-20,60-69,64279,3173,,,
May-20,70-79,37893,4874,,,
May-20,80+,46132,11060,,,
Jun-20, 0 - 9,31366,9,,,
Jun-20, 10 - 19,73023,15,,,
Jun-20,20 - 29,197816,117,,,
Jun-20,30 - 39,150092,252,,,
Jun-20,40 - 49,125842,618,,,
Jun-20,50-59,110405,1312,,,
Jun-20,60-69,70797,2595,,,
Jun-20,70-79,37421,3418,,,
Jun-20,80+,31594,6013,,,
Jul-20, 0 - 9,52452,12,,,
Jul-20, 10 - 19,133585,18,,,
Jul-20,20 - 29,292220,153,,,
Jul-20,30 - 39,231839,384,,,
Jul-20,40 - 49,201869,839,,,
Jul-20,50-59,180977,2110,,,
Jul-20,60-69,116848,4285,,,
Jul-20,70-79,62280,6064,,,
Jul-20,80+,42586,10011,,,
Aug-20, 0 - 9,40790,9,,,
Aug-20, 10 - 19,121356,24,,,
Aug-20,20 - 29,206227,91,,,
Aug-20,30 - 39,156008,217,,,
Aug-20,40 - 49,141476,502,,,
Aug-20,50-59,133010,1250,,,
Aug-20,60-69,89443,2790,,,
Aug-20,70-79,50304,4349,,,
Aug-20,80+,36407,7862,,,
Sep-20, 0 - 9,37103,8,,,
Sep-20, 10 - 19,133258,21,,,
Sep-20,20 - 29,211949,66,,,
Sep-20,30 - 39,147832,131,,,
Sep-20,40 - 49,135045,355,,,
Sep-20,50-59,131251,892,,,
Sep-20,60-69,92539,2064,,,
Sep-20,70-79,53597,3386,,,
Sep-20,80+,36923,6251,,,
Oct-20, 0 - 9,66629,4,,,
Oct-20, 10 - 19,178105,10,,,
Oct-20,20 - 29,307460,94,,,
Oct-20,30 - 39,259881,229,,,
Oct-20,40 - 49,237949,493,,,
Oct-20,50-59,234185,1439,,,
Oct-20,60-69,169586,3381,,,
Oct-20,70-79,96452,5988,,,
Oct-20,80+,62460,10880,,,
Nov-20, 0 - 9,135807,16,,,
Nov-20, 10 - 19,347551,24,,,
Nov-20,20 - 29,590357,137,,,
Nov-20,30 - 39,511876,402,,,
Nov-20,40 - 49,467345,1084,,,
Nov-20,50-59,452469,2866,,,
Nov-20,60-69,326898,7082,,,
Nov-20,70-79,181556,12084,,,
Nov-20,80+,118644,22338,,,
Dec-20, 0 - 9,204638,14,,,
Dec-20, 10 - 19,450916,50,,,
Dec-20,20 - 29,770217,241,,,
Dec-20,30 - 39,703527,631,,,
Dec-20,40 - 49,637626,1642,,,
Dec-20,50-59,623025,4471,,,
Dec-20,60-69,447546,10311,,,
Dec-20,70-79,244805,15824,,,
Dec-20,80+,165502,27942,,,
Jan-21, 0 - 9,182721,17,,,
Jan-21, 10 - 19,386976,33,,,
Jan-21,20 - 29,603246,157,,,
Jan-21,30 - 39,527929,362,,,
Jan-21,40 - 49,478159,915,,,
Jan-21,50-59,473602,2506,,,
Jan-21,60-69,341226,5726,,,
Jan-21,70-79,188068,8734,,,
Jan-21,80+,119747,13991,,,
Feb-21, 0 - 9,40904,7,,,
Feb-21, 10 - 19,84532,8,,,
Feb-21,20 - 29,116401,30,,,
Feb-21,30 - 39,102338,54,,,
Feb-21,40 - 49,92253,113,,,
Feb-21,50-59,92499,253,,,
Feb-21,60-69,68363,498,,,
Feb-21,70-79,37274,821,,,
Feb-21,80+,23466,1391,,,
Mar-21, 0 - 9,35907,5,,,
Mar-21, 10 - 19,76189,7,,,
Mar-21,20 - 29,107175,25,,,
Mar-21,30 - 39,96921,51,,,
Mar-21,40 - 49,87708,107,,,
Mar-21,50-59,87373,200,,,
Mar-21,60-69,58659,352,,,
Mar-21,70-79,28743,504,,,
Mar-21,80+,16380,699,,,
